"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
138,"SES","SES AI Corporation","Consumer Cyclical","Auto Parts","USA",792.21,,2.17,-5.24%,7824331
139,"CNNE","Cannae Holdings Inc","Consumer Cyclical","Restaurants","USA",807.29,,16.38,-2.73%,619821
140,"OLPX","Olaplex Holdings Inc","Consumer Cyclical","Specialty Retail","USA",834.39,,1.25,5.93%,1471722
141,"ODP","ODP Corporation","Consumer Cyclical","Specialty Retail","USA",842.70,299.89,27.98,0.04%,745185
142,"WOOF","Petco Health and Wellness Co Inc","Consumer Cyclical","Specialty Retail","USA",843.60,,3.01,-1.63%,1218012
143,"ACEL","Accel Entertainment Inc","Consumer Cyclical","Gambling","USA",871.19,20.72,10.47,0.58%,325292
144,"GES","Guess Inc","Consumer Cyclical","Apparel Retail","USA",886.06,16.22,16.99,-0.12%,449390
145,"SLDP","Solid Power Inc","Consumer Cyclical","Auto Parts","USA",987.59,,5.17,-4.44%,8365339
146,"EVGO","EVgo Inc","Consumer Cyclical","Specialty Retail","USA",1050.22,,3.41,-1.73%,2765196
147,"WGO","Winnebago Industries, Inc","Consumer Cyclical","Recreational Vehicles","USA",1072.16,41.63,38.01,-0.08%,653731
148,"MLKN","MillerKnoll Inc","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",1079.79,,15.76,-1.31%,555092
149,"FWRG","First Watch Restaurant Group Inc","Consumer Cyclical","Restaurants","USA",1080.27,224.62,17.70,-2.16%,999688
150,"TDUP","ThredUp Inc","Consumer Cyclical","Internet Retail","USA",1091.24,,8.72,9.82%,2871543
151,"CWH","Camping World Holdings Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",1103.66,,10.79,-3.05%,1545195
152,"CRI","Carters Inc","Consumer Cyclical","Apparel Retail","USA",1161.59,12.93,31.87,2.15%,1050941
153,"LGIH","LGI Homes Inc","Consumer Cyclical","Residential Construction","USA",1163.19,11.12,50.40,-0.41%,307695
154,"LUCK","Lucky Strike Entertainment Corp","Consumer Cyclical","Leisure","USA",1188.31,,8.51,0.35%,354787
155,"MVST","Microvast Holdings Inc","Consumer Cyclical","Auto Parts","USA",1230.69,,3.75,0.81%,5094432
156,"GIII","G-III Apparel Group Ltd","Consumer Cyclical","Apparel Manufacturing","USA",1282.51,7.52,30.38,3.16%,468506
157,"GOOS","Canada Goose Holdings Inc","Consumer Cyclical","Apparel Manufacturing","Canada",1298.80,82.19,13.38,-4.15%,625514
